total_tracks,id,market,popularity
9.0,7zCODUHkfuRxsUjtuzNqbd,BZ,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,CA,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,CA,64.0
24.0,12INlMsFtBjyehNnawBv36,CA,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,CA,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,CA,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,CA,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,CA,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,CA,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,CA,65.0
30.0,2XGEyGU76kj55OdHWynX0S,CA,64.0
9.0,04hy4jb1GDD00otiwzsFUB,CA,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,CA,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,CA,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,CD,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,CD,64.0
24.0,12INlMsFtBjyehNnawBv36,CD,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,CD,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,CD,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,CD,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,CD,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,CD,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,CD,65.0
30.0,2XGEyGU76kj55OdHWynX0S,CD,64.0
9.0,04hy4jb1GDD00otiwzsFUB,CD,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,CD,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,CD,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,CG,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,CG,64.0
24.0,12INlMsFtBjyehNnawBv36,CG,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,CG,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,CG,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,CG,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,CG,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,CG,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,CG,65.0
30.0,2XGEyGU76kj55OdHWynX0S,CG,64.0
9.0,04hy4jb1GDD00otiwzsFUB,CG,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,CG,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,CG,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,CH,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,CH,64.0
24.0,12INlMsFtBjyehNnawBv36,CH,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,CH,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,CH,91.0
